EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,Salary,Bonus,EducationLevel,MaritalStatus,Attrition,PerformanceRating,YearsAtCompany,YearsSinceLastPromotion,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,Overtime,TrainingHours,ManagerID,TeamSize,RemoteWork,TravelFrequency,HireDate
13,55,Female,Finance,Senior Analyst,77256,651279,297366,1,Married,No,5,8,4,3,2,3,No,48,185,13,Yes,Frequently,2016-11-04
14,22,Male,Marketing,Executive,138252,439182,158338,5,Single,No,2,17,17,2,2,1,Yes,9,189,9,No,Frequently,2007-02-19
15,48,Female,Finance,Team Lead,144176,422409,23419,2,Divorced,No,2,6,2,2,2,3,No,55,162,9,No,Frequently,2018-12-23
16,53,Male,Operations,Team Lead,112939,1759933,211428,5,Divorced,No,3,3,0,4,4,1,No,19,142,6,Yes,Frequently,2021-07-04
17,53,Male,Marketing,Analyst,100450,2228434,43585,1,Single,No,1,7,6,3,2,4,No,49,161,11,No,Rarely,2017-07-23
18,49,Female,R&D,Team Lead,120259,500235,25939,5,Single,No,2,14,12,1,3,2,Yes,66,196,3,Yes,Rarely,2010-09-19
19,24,Male,Operations,Senior Analyst,46959,2098792,265892,3,Single,No,1,7,7,3,3,3,Yes,55,143,10,Yes,Frequently,2017-05-10
20,53,Female,Operations,Team Lead,93840,1796176,39353,2,Married,No,5,5,2,3,4,3,Yes,16,138,4,Yes,Rarely,2019-05-30
21,58,Male,Finance,Manager,118264,1070746,288880,3,Divorced,No,5,17,16,1,4,2,Yes,6,191,8,Yes,Rarely,2007-10-31
22,53,Male,Operations,Analyst,32392,1606002,177789,4,Divorced,Yes,4,15,14,2,4,2,Yes,57,143,12,Yes,Frequently,2009-11-21
23,53,Female,HR,Coordinator,95467,1729626,287486,3,Married,No,5,14,10,4,2,1,No,74,185,13,No,Occasionally,2010-08-30
24,37,Male,Marketing,Manager,118384,2308187,86202,4,Single,Yes,4,4,0,4,2,3,No,7,119,14,No,Frequently,2020-09-01
25,40,Female,HR,Senior Analyst,149249,1907618,226814,5,Married,Yes,3,16,14,3,1,3,Yes,24,195,9,Yes,Frequently,2008-06-17
26,54,Male,R&D,Executive,96295,1043974,273255,2,Married,No,5,11,11,3,4,2,No,15,191,11,No,Frequently,2013-11-17
27,44,Female,Marketing,Analyst,46918,1958845,30306,3,Single,Yes,3,2,0,3,3,1,Yes,20,189,11,Yes,Rarely,2022-09-06
28,23,Female,Operations,Coordinator,128727,417796,291999,4,Married,No,1,3,1,2,4,3,No,13,198,5,No,Rarely,2021-07-25
29,37,Male,Finance,Analyst,91690,1879159,274327,2,Married,No,4,4,1,4,2,3,Yes,79,171,6,No,Frequently,2020-11-22
30,41,Female,IT,Executive,151063,2085954,133272,5,Single,No,1,14,10,4,3,3,No,22,181,4,Yes,Frequently,2010-09-03
31,37,Male,IT,Manager,75108,918467,90272,1,Single,Yes,2,17,14,2,3,1,Yes,37,113,7,Yes,Rarely,2007-11-22
32,41,Male,Marketing,Coordinator,83871,1239903,128391,5,Single,Yes,4,4,2,3,4,2,Yes,21,132,14,Yes,Frequently,2020-01-02
33,43,Male,R&D,Engineer,44830,2283509,116381,2,Single,Yes,3,1,0,4,2,3,No,55,153,10,Yes,Occasionally,2023-02-05
34,42,Male,R&D,Team Lead,79045,1718175,136672,1,Married,No,4,18,14,2,1,1,Yes,65,147,5,No,Rarely,2006-11-11
35,56,Female,Operations,Team Lead,134616,1815536,187563,2,Single,No,5,16,13,1,2,2,Yes,34,192,7,Yes,Occasionally,2008-02-11
36,56,Male,Sales,Coordinator,88208,2231760,131373,5,Divorced,Yes,5,14,10,1,2,3,Yes,64,196,6,Yes,Rarely,2010-06-06
37,24,Female,Marketing,Manager,51641,989944,163817,1,Single,Yes,3,19,18,4,3,4,Yes,71,145,10,Yes,Frequently,2005-02-03
38,53,Male,HR,Manager,29014,1366646,297921,3,Single,No,4,2,0,3,2,4,No,6,189,3,No,Occasionally,2022-05-28
39,54,Male,Finance,Senior Analyst,130864,1741578,209141,3,Single,Yes,2,12,8,1,1,4,Yes,46,125,5,Yes,Occasionally,2012-06-29
40,46,Female,IT,Manager,35647,964076,219963,4,Married,Yes,1,2,1,4,2,3,Yes,11,156,6,Yes,Frequently,2022-02-14
41,41,Female,IT,Engineer,27368,1586125,70031,1,Divorced,No,2,7,4,2,4,4,No,19,191,4,Yes,Occasionally,2017-04-12
42,53,Female,R&D,Executive,167038,949150,230229,2,Single,Yes,3,18,16,2,3,2,Yes,29,157,8,Yes,Frequently,2006-05-19
43,27,Female,Sales,Executive,120285,761243,113632,5,Divorced,No,4,3,0,2,1,2,Yes,64,104,9,Yes,Frequently,2021-07-13
44,27,Male,Operations,Executive,98523,1443052,233841,1,Married,No,4,16,13,1,1,2,Yes,34,118,3,No,Occasionally,2008-04-15
45,49,Female,HR,Senior Analyst,128481,1723286,25945,2,Married,Yes,4,1,0,3,4,4,Yes,66,122,11,No,Occasionally,2023-09-15
46,22,Female,IT,Analyst,91617,1050201,279040,3,Divorced,Yes,5,8,7,1,4,2,Yes,52,188,10,No,Occasionally,2016-02-28
47,22,Female,Marketing,Team Lead,159415,706716,29375,3,Single,Yes,1,7,3,4,1,2,Yes,26,192,9,No,Frequently,2017-09-23
48,33,Female,Finance,Coordinator,92215,2204050,144356,5,Divorced,No,3,17,17,2,4,1,Yes,33,177,14,No,Rarely,2007-11-01
49,51,Female,Sales,Senior Analyst,103781,1064121,252377,1,Divorced,Yes,2,15,11,1,2,2,No,43,199,3,No,Occasionally,2009-03-15
50,44,Female,R&D,Engineer,129185,1708836,68385,3,Single,No,1,15,12,2,4,2,No,14,118,12,Yes,Rarely,2009-05-20
51,26,Female,Marketing,Analyst,41364,1400567,188751,5,Divorced,Yes,5,19,18,1,1,4,No,36,190,6,Yes,Occasionally,2005-06-04
52,56,Female,HR,Manager,116680,1352576,201660,1,Single,Yes,5,8,6,4,4,4,No,47,111,5,No,Occasionally,2016-10-18
53,54,Female,R&D,Manager,94449,2355723,151836,5,Married,No,5,19,15,4,2,2,Yes,16,194,4,No,Occasionally,2005-12-25
54,56,Male,Operations,Senior Analyst,52350,2229305,25351,2,Divorced,Yes,4,1,0,2,2,2,No,30,173,12,No,Rarely,2023-06-08
55,28,Male,HR,Coordinator,28267,2224596,157164,4,Single,No,1,18,16,3,3,1,Yes,33,135,11,Yes,Frequently,2006-08-04
56,31,Male,Operations,Analyst,63756,991095,114352,3,Single,Yes,1,16,14,3,3,2,No,40,181,3,Yes,Occasionally,2008-05-27
57,53,Male,Sales,Senior Analyst,163429,1774271,61476,2,Divorced,Yes,4,13,10,4,3,3,Yes,59,112,9,No,Occasionally,2011-07-09
58,51,Male,HR,Team Lead,136888,934736,14397,5,Divorced,Yes,4,17,14,3,4,1,Yes,17,158,5,No,Frequently,2007-05-12
59,57,Male,IT,Engineer,172851,766152,200968,4,Single,No,3,3,0,1,4,4,Yes,56,182,12,Yes,Occasionally,2021-06-19
60,37,Female,Marketing,Manager,111900,1339458,102795,2,Divorced,Yes,2,5,5,1,1,3,No,56,184,6,Yes,Frequently,2019-03-04
61,35,Male,HR,Manager,151174,1189465,9348,3,Single,Yes,2,4,2,4,4,3,No,79,117,14,No,Occasionally,2020-09-20
62,31,Female,IT,Manager,26542,1632397,177804,1,Married,No,1,11,10,3,2,4,No,13,149,13,No,Rarely,2013-10-11
63,26,Female,Operations,Team Lead,113092,1637682,28295,2,Single,No,1,18,14,1,4,3,Yes,69,185,6,Yes,Frequently,2006-05-26
64,28,Male,Finance,Senior Analyst,157396,2226275,166981,5,Divorced,No,5,3,0,2,2,1,Yes,35,118,14,No,Rarely,2021-09-07
65,48,Male,Operations,Analyst,50289,748345,224786,4,Single,No,4,13,11,3,1,2,Yes,49,112,4,No,Rarely,2011-08-15
66,22,Female,IT,Coordinator,64298,1850284,61629,5,Married,No,1,12,12,1,3,3,No,67,124,10,No,Rarely,2012-01-08
67,59,Male,Sales,Coordinator,139821,1809433,298539,2,Married,Yes,3,19,15,3,3,1,No,36,144,7,Yes,Frequently,2005-11-20
68,42,Male,HR,Senior Analyst,46732,559747,91362,1,Single,Yes,1,4,2,4,2,3,No,24,156,4,No,Rarely,2020-04-23
69,35,Female,Marketing,Team Lead,77638,1717077,199938,3,Married,No,4,5,5,3,3,4,Yes,79,111,12,Yes,Occasionally,2019-06-14
70,29,Male,Finance,Analyst,150899,1634679,66203,3,Married,No,1,4,0,4,3,1,Yes,12,191,6,Yes,Frequently,2020-10-06
71,49,Female,Finance,Engineer,152016,1091267,20159,4,Single,Yes,4,12,10,4,2,4,Yes,67,116,11,No,Frequently,2012-08-13
72,41,Female,R&D,Executive,122007,1900396,165421,1,Married,No,1,19,17,1,1,2,No,10,181,5,Yes,Occasionally,2005-06-23
73,46,Male,Operations,Team Lead,154473,778007,226156,2,Single,No,5,15,11,1,2,3,No,37,164,4,No,Rarely,2009-11-12
74,32,Male,Sales,Team Lead,87292,435230,193752,1,Married,No,1,5,3,3,4,2,No,31,148,3,No,Frequently,2019-12-08
75,56,Male,Sales,Engineer,33702,300404,178998,2,Divorced,No,1,18,15,3,1,1,No,73,194,7,Yes,Occasionally,2006-01-03
76,24,Female,IT,Engineer,75612,1110006,285668,2,Married,No,5,14,10,2,1,3,No,41,173,12,Yes,Rarely,2010-02-25
77,38,Male,Marketing,Senior Analyst,146288,1387341,21949,5,Single,No,3,1,1,2,2,1,No,36,133,14,Yes,Rarely,2023-11-29
78,47,Female,IT,Team Lead,86877,1660642,94074,1,Single,Yes,2,12,11,2,1,3,No,16,164,8,No,Frequently,2012-12-30
79,26,Female,Sales,Senior Analyst,150917,998168,281342,4,Married,No,4,8,4,4,1,2,No,18,165,13,No,Rarely,2016-10-11
80,59,Female,Operations,Team Lead,90215,306949,238897,1,Divorced,No,5,1,0,1,3,2,Yes,34,178,13,No,Occasionally,2023-05-03
81,55,Female,IT,Team Lead,119456,1664133,250875,2,Divorced,No,3,1,0,4,4,2,No,55,180,7,No,Rarely,2023-01-06
82,31,Male,Operations,Analyst,80479,1565040,218441,2,Divorced,Yes,5,16,16,3,3,2,No,73,133,8,Yes,Rarely,2008-03-17
83,34,Female,Operations,Manager,129573,961614,155286,2,Single,Yes,3,18,16,3,3,1,Yes,20,107,6,No,Rarely,2006-05-12
84,25,Female,R&D,Engineer,133215,1605794,214879,4,Divorced,Yes,1,12,10,1,3,4,Yes,31,192,4,No,Frequently,2012-08-16
85,40,Female,HR,Team Lead,82108,1829297,111195,4,Married,No,1,1,0,4,3,2,Yes,65,121,7,No,Occasionally,2023-09-24
86,22,Male,HR,Analyst,129680,1498425,224301,5,Married,No,4,14,13,4,3,2,Yes,53,177,12,No,Frequently,2010-10-29
87,48,Male,Sales,Coordinator,48624,1522869,259127,4,Divorced,No,3,7,5,1,4,2,No,67,147,3,Yes,Occasionally,2017-01-15
88,22,Female,Sales,Executive,152600,1867438,111317,1,Married,No,5,16,15,1,3,3,Yes,32,186,10,Yes,Rarely,2008-06-20
89,47,Male,IT,Engineer,29621,1494682,258930,3,Married,No,4,18,16,4,4,4,No,27,117,12,No,Rarely,2006-08-31
90,56,Female,HR,Coordinator,59674,1515502,46271,3,Married,No,3,14,14,3,2,1,No,32,173,9,Yes,Occasionally,2010-06-04
91,43,Male,IT,Executive,72915,958956,108099,4,Divorced,Yes,5,3,2,1,1,4,Yes,71,117,6,No,Occasionally,2021-03-11
92,43,Male,R&D,Team Lead,37910,1684199,81264,2,Married,Yes,4,5,2,3,1,3,No,46,140,7,No,Frequently,2019-09-16
93,47,Female,Sales,Team Lead,73447,2300609,75703,3,Single,Yes,4,14,12,2,1,1,No,74,132,7,No,Rarely,2010-06-22
94,27,Male,R&D,Coordinator,97303,1294653,187210,5,Married,Yes,2,14,14,4,2,3,No,7,130,10,No,Occasionally,2010-07-13
95,57,Male,Sales,Engineer,34111,840677,122177,1,Divorced,No,2,15,12,3,4,3,Yes,79,103,8,Yes,Frequently,2009-06-29
96,51,Male,Sales,Analyst,38234,825134,10954,5,Divorced,Yes,5,3,2,2,4,1,No,55,144,14,No,Frequently,2021-06-07
97,27,Male,R&D,Manager,67101,364323,91922,2,Single,No,5,15,12,1,1,1,Yes,24,111,3,Yes,Rarely,2009-09-08
98,59,Female,Marketing,Coordinator,26828,1350493,282762,1,Single,No,2,6,3,3,1,4,Yes,7,132,8,No,Occasionally,2018-12-08
99,31,Male,Operations,Engineer,107180,703081,5287,4,Single,Yes,4,2,1,1,4,1,No,69,162,7,No,Frequently,2022-03-03
100,38,Female,Finance,Senior Analyst,118070,1778050,42078,1,Married,No,1,11,11,2,4,1,No,73,161,14,No,Frequently,2013-01-16
101,35,Female,Finance,Senior Analyst,92444,2012503,196513,2,Divorced,Yes,5,8,5,3,4,2,No,39,100,10,No,Occasionally,2016-05-26
102,32,Female,Marketing,Team Lead,83596,2256109,255266,5,Divorced,No,3,12,8,3,4,2,Yes,41,104,5,No,Occasionally,2012-06-07
103,47,Male,IT,Coordinator,150501,2155619,148056,1,Married,No,4,6,2,1,1,2,Yes,46,188,4,No,Frequently,2018-11-11
104,29,Male,Operations,Engineer,64711,635484,218134,1,Single,Yes,1,12,12,2,3,4,Yes,29,116,3,No,Occasionally,2012-02-10
105,23,Female,Sales,Executive,174453,1214228,92263,4,Divorced,Yes,2,5,3,2,3,2,No,43,150,8,Yes,Frequently,2019-09-27
106,24,Female,Operations,Executive,121646,645266,286663,2,Married,No,4,14,13,2,2,3,Yes,68,114,3,No,Rarely,2010-09-14
107,48,Male,IT,Analyst,123723,1621509,32154,2,Divorced,Yes,3,13,13,4,3,4,Yes,72,185,4,No,Frequently,2011-06-09
108,26,Female,Operations,Engineer,71197,1796972,154782,3,Divorced,Yes,1,10,7,4,2,1,Yes,56,155,10,No,Rarely,2014-01-02
109,50,Male,Operations,Senior Analyst,39382,2007692,282753,2,Divorced,Yes,4,15,13,3,1,4,Yes,40,135,12,No,Rarely,2009-10-03
110,48,Female,IT,Senior Analyst,96315,688349,14153,5,Married,No,1,9,8,1,3,1,No,50,111,12,No,Occasionally,2015-10-30
111,39,Male,Sales,Analyst,42368,970688,188014,5,Divorced,Yes,4,7,4,1,3,4,No,47,175,14,Yes,Frequently,2017-12-28
112,25,Male,HR,Senior Analyst,85279,1190695,126,5,Single,Yes,4,16,15,4,1,1,Yes,35,108,8,No,Frequently,2008-10-20
113,50,Male,IT,Executive,159869,2302324,132717,2,Married,No,3,1,0,2,3,4,No,58,186,11,No,Frequently,2023-05-05
114,36,Male,R&D,Analyst,93244,2015630,57545,4,Married,No,2,19,16,3,1,4,No,61,125,11,Yes,Occasionally,2005-12-20
115,46,Female,Marketing,Senior Analyst,164649,1474737,8666,4,Divorced,No,3,17,16,3,1,2,Yes,21,142,13,Yes,Occasionally,2007-01-02
116,45,Female,IT,Manager,92526,2336915,282100,1,Single,Yes,1,8,8,1,4,1,Yes,53,128,13,No,Frequently,2016-01-07
117,42,Male,Operations,Coordinator,95480,870451,19816,5,Single,Yes,4,2,2,1,1,3,No,24,185,14,Yes,Frequently,2022-07-27
118,28,Female,HR,Manager,26759,433554,286586,3,Single,Yes,4,12,10,2,2,2,Yes,66,131,3,No,Occasionally,2012-06-24
119,50,Female,R&D,Analyst,115397,1966471,220178,1,Married,Yes,5,7,6,3,3,3,Yes,5,177,5,No,Rarely,2017-01-18
120,23,Male,HR,Executive,162717,1730491,38000,2,Single,No,1,5,4,4,2,2,No,42,150,6,No,Frequently,2019-02-28
121,29,Female,HR,Team Lead,154948,1623062,78623,5,Married,Yes,4,19,18,3,4,3,Yes,78,182,4,Yes,Rarely,2005-10-28
122,44,Female,Marketing,Executive,130947,952465,216454,1,Divorced,Yes,1,19,15,1,2,4,Yes,12,164,11,Yes,Frequently,2005-09-15
123,45,Female,Finance,Manager,55678,376218,63230,4,Married,No,3,17,13,3,1,1,Yes,76,153,11,Yes,Occasionally,2007-12-06
124,58,Male,HR,Coordinator,97258,2028096,101358,3,Single,Yes,4,5,4,3,4,1,No,39,195,10,No,Occasionally,2019-03-02
125,53,Female,R&D,Manager,138453,908746,12175,2,Married,Yes,2,6,3,1,2,4,No,41,153,7,Yes,Rarely,2018-04-22
126,52,Male,Finance,Coordinator,91358,347057,268294,5,Married,No,1,6,5,4,4,3,No,11,132,9,Yes,Occasionally,2018-02-18
127,40,Male,Sales,Senior Analyst,169931,1792252,162491,5,Divorced,Yes,3,1,0,3,2,4,No,6,100,7,Yes,Occasionally,2023-12-26
128,23,Male,Operations,Analyst,119914,2237878,207990,3,Single,No,4,9,6,3,2,1,Yes,24,104,7,Yes,Rarely,2015-07-25
129,51,Male,Sales,Analyst,136496,1206739,257529,5,Divorced,No,5,14,11,4,4,2,Yes,28,180,12,Yes,Rarely,2010-10-27
130,44,Male,Operations,Team Lead,60954,826861,35367,4,Single,Yes,5,6,5,4,3,2,Yes,29,172,8,No,Occasionally,2018-04-15
131,25,Female,HR,Coordinator,80961,1586585,256028,3,Married,No,4,9,5,2,2,4,No,41,174,8,No,Rarely,2015-01-23
132,42,Male,IT,Analyst,56653,2306032,228504,3,Single,Yes,5,2,1,3,4,3,Yes,31,156,8,Yes,Rarely,2022-12-26
133,55,Female,IT,Coordinator,72924,524137,297881,5,Married,No,4,12,8,2,3,3,No,66,145,4,No,Frequently,2012-07-19
134,22,Male,Sales,Coordinator,175322,2353490,53276,4,Divorced,No,5,9,5,2,4,4,Yes,15,139,13,No,Occasionally,2015-07-03
135,56,Female,Sales,Senior Analyst,141021,2294849,184374,2,Divorced,Yes,2,16,12,2,1,2,No,60,132,12,Yes,Occasionally,2008-06-09
136,41,Female,Sales,Coordinator,139130,1809090,146922,2,Married,No,3,16,16,2,4,4,Yes,66,197,11,Yes,Rarely,2008-07-11
137,30,Male,HR,Executive,40048,1906872,205738,1,Single,No,2,18,17,2,4,1,Yes,29,138,5,Yes,Frequently,2006-04-29
138,58,Female,Sales,Coordinator,111123,1848459,206258,4,Single,No,5,17,16,3,2,4,Yes,16,118,7,No,Occasionally,2007-04-21
139,38,Male,IT,Team Lead,61408,999983,90327,1,Married,No,4,8,6,2,2,2,Yes,12,194,7,Yes,Frequently,2016-05-06
140,44,Male,Marketing,Coordinator,92957,764071,146968,3,Married,Yes,1,3,2,3,4,3,No,16,114,13,Yes,Rarely,2021-12-23
141,47,Male,Finance,Team Lead,62641,1902575,143254,4,Married,Yes,5,11,10,3,4,3,No,11,113,7,Yes,Frequently,2013-05-12
142,30,Male,IT,Senior Analyst,167194,504615,41786,4,Single,Yes,5,13,9,3,4,3,Yes,43,198,4,Yes,Frequently,2011-06-21
143,38,Female,HR,Team Lead,114613,2187383,121826,5,Married,No,2,10,7,4,3,2,No,64,144,4,Yes,Frequently,2014-04-08
144,58,Female,Finance,Analyst,159055,976022,285654,2,Divorced,No,1,17,14,2,1,3,No,43,114,10,Yes,Occasionally,2007-07-17
145,25,Female,Marketing,Team Lead,79620,1988472,269708,3,Married,No,5,3,2,3,4,2,No,37,115,12,No,Frequently,2021-10-10
146,23,Female,Finance,Team Lead,148618,759297,125341,3,Married,Yes,4,8,6,2,1,4,No,17,112,4,Yes,Frequently,2016-03-01
147,50,Female,Marketing,Manager,86916,2393373,73972,1,Single,No,4,17,14,1,3,4,Yes,61,115,10,No,Occasionally,2007-02-26
148,31,Male,Marketing,Senior Analyst,130373,2159582,250195,1,Married,Yes,1,8,4,4,3,2,No,69,193,3,Yes,Rarely,2016-06-02
149,35,Male,R&D,Senior Analyst,49951,856701,165873,3,Married,Yes,5,17,14,1,4,1,No,22,161,7,No,Occasionally,2007-10-14
150,22,Female,Marketing,Team Lead,160566,422744,205763,5,Single,No,2,4,1,1,2,4,Yes,63,136,7,Yes,Occasionally,2020-06-10
151,27,Female,HR,Team Lead,156878,1210775,187710,3,Divorced,Yes,5,9,7,3,1,2,Yes,66,176,4,No,Rarely,2015-10-09
152,25,Male,R&D,Engineer,153583,1798771,245596,5,Divorced,No,3,13,9,2,4,3,No,78,197,11,No,Occasionally,2011-09-22
153,24,Male,Marketing,Team Lead,170271,1268452,73781,5,Single,No,3,11,11,2,4,3,No,13,198,6,No,Rarely,2013-09-10
154,56,Female,R&D,Senior Analyst,137855,2032767,7906,2,Divorced,No,1,3,0,3,2,2,No,77,167,7,No,Frequently,2021-06-13
155,32,Female,Operations,Manager,108560,791036,279746,4,Divorced,Yes,4,18,18,2,2,2,Yes,46,108,10,Yes,Occasionally,2006-01-27
156,32,Male,Finance,Analyst,75106,905409,25559,3,Single,Yes,2,15,12,2,1,2,No,42,171,13,Yes,Frequently,2009-05-19
157,47,Male,R&D,Executive,66873,1192964,134092,3,Single,No,3,15,12,4,1,2,No,73,176,3,No,Frequently,2009-05-09
158,53,Female,Finance,Manager,140005,1432658,128322,2,Single,No,2,2,1,2,4,3,No,44,190,3,No,Frequently,2022-04-30
159,45,Female,Marketing,Executive,32314,1368199,198747,1,Divorced,No,3,14,14,3,1,1,No,63,158,11,Yes,Frequently,2010-02-19
160,46,Male,Operations,Team Lead,136785,1869123,69274,3,Married,Yes,3,7,4,2,3,2,Yes,11,104,13,No,Occasionally,2017-12-22
161,52,Female,Operations,Team Lead,72638,1426825,2719,5,Single,Yes,2,7,5,4,4,1,No,57,129,9,No,Frequently,2017-09-10
162,57,Female,R&D,Coordinator,151209,742061,189004,3,Divorced,Yes,3,2,0,2,1,2,No,16,138,4,No,Rarely,2022-05-22
163,48,Female,R&D,Executive,153232,463038,168383,3,Divorced,Yes,2,7,3,3,3,3,No,39,169,5,No,Rarely,2017-01-21
164,31,Female,HR,Coordinator,169353,623390,263579,2,Divorced,No,1,13,10,4,2,2,Yes,41,192,8,No,Frequently,2011-01-21
165,41,Male,Finance,Team Lead,108807,1787331,138563,1,Single,No,3,16,14,1,2,2,Yes,68,116,14,No,Frequently,2008-08-29
166,31,Female,IT,Executive,34077,1072800,253973,2,Divorced,Yes,2,3,2,3,2,3,Yes,54,113,14,Yes,Rarely,2021-08-12
167,56,Male,R&D,Coordinator,177499,2235740,289227,2,Married,Yes,1,16,12,2,4,2,No,15,132,8,Yes,Occasionally,2008-11-11
168,36,Male,HR,Manager,118106,527286,11745,4,Single,No,1,5,4,3,4,2,No,33,103,3,No,Rarely,2019-01-31
169,34,Female,Finance,Coordinator,122768,1686652,148554,3,Divorced,No,5,17,14,3,4,4,No,36,101,6,No,Rarely,2007-09-15
170,48,Female,Marketing,Analyst,77930,1786205,244459,5,Divorced,No,4,9,6,1,4,4,No,25,146,7,No,Frequently,2015-04-06
171,40,Male,HR,Manager,153386,2140634,138496,5,Single,Yes,1,14,13,1,4,3,Yes,42,114,4,No,Occasionally,2010-02-16
172,46,Male,IT,Engineer,107711,1855979,26385,3,Married,Yes,3,17,14,1,3,2,No,31,171,14,No,Rarely,2007-04-16
173,46,Male,HR,Executive,161848,1778236,205390,2,Married,No,2,6,4,3,4,2,Yes,50,149,6,Yes,Occasionally,2018-09-20
174,24,Male,Operations,Manager,107879,1256331,238260,2,Single,No,3,13,10,3,3,1,No,7,119,11,No,Frequently,2011-05-03
175,28,Female,Finance,Senior Analyst,36536,379083,34531,2,Married,Yes,2,6,6,2,1,3,No,42,147,11,Yes,Occasionally,2018-07-31
176,45,Female,Operations,Executive,107503,909996,191184,2,Divorced,Yes,4,18,14,3,2,1,Yes,22,193,4,No,Rarely,2006-07-01
177,52,Female,IT,Engineer,131661,1259192,64288,3,Divorced,Yes,2,6,3,3,1,1,Yes,45,107,13,No,Rarely,2018-07-24
178,45,Male,IT,Manager,64499,1736536,169631,5,Divorced,Yes,2,1,0,2,2,1,Yes,24,132,12,No,Frequently,2023-07-24
179,53,Male,IT,Manager,86681,1543131,122720,2,Married,Yes,1,12,11,1,2,1,Yes,37,176,3,No,Rarely,2012-08-23
180,47,Female,R&D,Analyst,75069,978758,229465,5,Divorced,No,3,7,6,4,1,4,Yes,19,197,12,No,Occasionally,2017-03-31
181,32,Male,Marketing,Analyst,82660,2108322,215048,1,Single,No,2,8,8,1,3,2,Yes,36,140,4,No,Frequently,2016-05-02
182,29,Female,Operations,Executive,127215,1243793,259931,3,Married,No,3,8,5,4,4,3,No,66,106,13,Yes,Rarely,2016-12-22
183,25,Male,Operations,Engineer,36653,1029497,295806,5,Single,No,4,4,2,1,1,2,No,45,159,12,Yes,Occasionally,2020-10-11
184,32,Female,Sales,Executive,171385,441398,110091,5,Divorced,No,4,6,2,2,3,1,Yes,29,144,5,Yes,Frequently,2018-03-27
185,57,Male,Finance,Executive,95316,2349927,28380,5,Single,No,2,1,0,2,3,3,No,59,131,5,No,Rarely,2023-04-08
186,39,Male,HR,Team Lead,130361,1517060,265064,1,Divorced,Yes,4,8,6,2,4,1,No,7,127,12,No,Occasionally,2016-02-24
187,56,Female,IT,Senior Analyst,41309,1928094,59321,5,Married,No,1,1,0,1,3,2,Yes,28,119,7,No,Frequently,2023-03-11
188,49,Male,Marketing,Team Lead,50963,926045,266847,4,Married,Yes,1,16,16,1,4,3,Yes,40,197,6,Yes,Rarely,2008-10-17
189,36,Female,Marketing,Engineer,51017,2278281,291570,5,Married,No,5,18,16,2,4,4,No,62,111,5,Yes,Frequently,2006-06-25
190,39,Male,HR,Executive,151503,560116,19975,1,Married,No,5,7,4,3,2,1,No,46,143,4,Yes,Frequently,2017-11-20
191,26,Male,HR,Manager,150932,990493,96059,3,Single,No,2,15,11,4,3,1,Yes,18,188,6,Yes,Occasionally,2009-08-15
192,27,Male,Finance,Executive,126520,2260826,61272,3,Single,No,2,18,18,4,3,1,Yes,32,165,5,No,Occasionally,2006-06-19
193,26,Male,Sales,Manager,169832,452999,61367,3,Single,Yes,5,15,12,3,1,1,Yes,49,122,13,No,Rarely,2009-08-24
